image_path,label,label_code
f:\bifu\georges\a01cb196acdf597346824a6ce9c89a67.jpg,georges,1
f:\bifu\georges\aa5be124d9deeb5580499b9290519605.jpg,georges,1
f:\bifu\georges\9ea4cf916b248af0e81d00e47fd98a28.jpg,georges,1
f:\bifu\georges\2e0728bdbb7940e5869a085cb81900a4.jpg,georges,1
f:\bifu\georges\70e0c0b2e33a17da42e0219078f5c170.jpg,georges,1
f:\bifu\georges\1f0235d2ddabc113457b1c10e5e0ed11.jpg,georges,1
f:\bifu\georges\14bd1a3a15583116acde05d4bff77755.jpg,georges,1
f:\bifu\georges\24e63780856e6b5d3c15f66c97ff8433.jpg,georges,1
f:\bifu\georges\4d17d566aa14ee357ab5ceaff817cdeb.jpg,georges,1
f:\bifu\georges\d04b8255d2ff79e368b6f1a415f91954.jpg,georges,1
f:\bifu\georges\c94fdc087b2aeac4ef28d30741550f15.jpg,georges,1
f:\bifu\georges\8361cd9660d67b19a360fba8e01efb51.jpg,georges,1
f:\bifu\georges\297a1ed47f5b9fead14423b561d382e1.jpg,georges,1
f:\bifu\georges\2210b1ef66c5a49a9735ad51d1e6bbc2.jpg,georges,1
f:\bifu\georges\05a511adde52834e11c4431dbcd24d33.jpg,georges,1
f:\bifu\georges\6fc90b0f033e7f7fbb8e83bec64771b2.jpg,georges,1
f:\bifu\georges\005d75fd1ab5478b0a1b3290032e9358.jpg,georges,1
f:\bifu\georges\5da522504abc1a7e01f39318747f0d7c.jpg,georges,1
f:\bifu\georges\e51fc9d0c48dd48e1e0aa7e8d6fcb945.jpg,georges,1
f:\bifu\georges\c0c6bbb0ffc1cc15b02bc1238ffd5387.jpg,georges,1
f:\bifu\georges\a16de6918a61da1c839ccb8e8466756b.jpg,georges,1
f:\bifu\georges\31f0d2b89dcbed26b1e7c56d7eca70e4.jpg,georges,1
f:\bifu\georges\3e1a8d95040cbc3fa870710fc8c0f644.jpg,georges,1
f:\bifu\georges\a9804ad710d70b7f45253d083ecb5688.jpg,georges,1
f:\bifu\georges\b07e6dc2618dab4b56545460142a0cb4.jpg,georges,1
f:\bifu\georges\cbde734f26566c7cb504a2097be82088.jpg,georges,1
f:\bifu\georges\4119b8460dc2891164c53407947494d7.jpg,georges,1
f:\bifu\georges\a740d9361d57269e890fb6b6da8571a2.jpg,georges,1
f:\bifu\georges\3daa0acfd54d194fc42beba161bf648d.jpg,georges,1
f:\bifu\georges\a86824a15716fea20d37d93c5505b9ec.jpg,georges,1
f:\bifu\georges\5fb66a2062671ba05d9bacec9c28d01f.jpg,georges,1
f:\bifu\georges\19849d2afb5e77bf64a6e1ca8e540e5f.jpg,georges,1
f:\bifu\georges\b7cc644eb2fbe98ee89cff85c14e5122.jpg,georges,1
f:\bifu\georges\73e90918b373b4d0ae86e6cca8956494.jpg,georges,1
f:\bifu\georges\66847b2b36733802cebc2b0662103bee.jpg,georges,1
f:\bifu\georges\4e91a52d94c156c06ac83e74191dbbae.jpg,georges,1
f:\bifu\georges\00a8418680f015900aa9ee6eea4c762f.jpg,georges,1
f:\bifu\georges\b263218c6f9eed492c48f420226c26c2.jpg,georges,1
f:\bifu\georges\452b8ec5863a37bb37e1fcfea4b1ddb1.jpg,georges,1
f:\bifu\georges\498df3aef2ce8cba487f1a1f52fc0ffa.jpg,georges,1
f:\bifu\georges\7a52e4ac79fa12ecdb96419ba69da623.jpg,georges,1
f:\bifu\georges\cc19ccb93181b4f4a571756966e200bf.jpg,georges,1
f:\bifu\georges\86353a935e0cf3e4e3875f13e31b2eda.jpg,georges,1
f:\bifu\georges\d7b6d9832341a099b470fab7e5aff546.jpg,georges,1
f:\bifu\georges\a4db5a270ea2b6f627c19e6357c65334.jpg,georges,1
f:\bifu\georges\1421cd23af904b529d2e32dfbf61ad21.jpg,georges,1
f:\bifu\georges\d251c0ad08a5ba2ba163217f91ab7e9f.jpg,georges,1
f:\bifu\georges\994244239425b489009bdf30409ee31e.jpg,georges,1
f:\bifu\georges\1fe83dcbafe66b112883bf7d47d677c5.jpg,georges,1
f:\bifu\georges\748f2d2d7c27aba21494271a75c3fdd5.jpg,georges,1
f:\bifu\georges\0b2aa546a567c28ba90103ef9551d30d.jpg,georges,1
f:\bifu\georges\3f38b9331007de6d3c8b3c95655f19c5.jpg,georges,1
f:\bifu\georges\6142d2d531e8eb08e88d1961f38c217d.jpg,georges,1
f:\bifu\georges\4da2362ebc9a6f5ea5a4f6dc79eb1201.jpg,georges,1
f:\bifu\georges\a70f0824d4ca8704e43531b090603c92.jpg,georges,1
f:\bifu\georges\0e65fbc664c5266b692f47ace265f1d4.jpg,georges,1
f:\bifu\georges\e6de7c24b74a392dad62a8259dad53b8.jpg,georges,1
f:\bifu\georges\47591f8055da3a8fed13cf09ffd6b739.jpg,georges,1
f:\bifu\georges\0c2d361d3dac1609b66a0ee1e5e0014c.jpg,georges,1
f:\bifu\georges\d9d52a08be4160f5b16588eea8ff5ae4.jpg,georges,1
f:\bifu\georges\f1212428a849ba54436b378377d7d68c.jpg,georges,1
f:\bifu\georges\7ad45bc3b316aa9342cc2920b4130602.jpg,georges,1
f:\bifu\georges\83835ce081c6f93e8c6bd035d1cea26b.jpg,georges,1
f:\bifu\georges\d8aa377222115269d3d15da5ae20ba79.jpg,georges,1
f:\bifu\georges\034cd526ed75ebfd032866f0ac8281b4.jpg,georges,1
f:\bifu\georges\91f995379ab2d6ad77c55a328032e471.jpg,georges,1
f:\bifu\georges\a7e2e10b8d6a332bd29ac52957f1b707.jpg,georges,1
f:\bifu\georges\047e2211827ce9c0ad74cc9fbb0b1733.jpg,georges,1
f:\bifu\georges\35f458a6846253628905e8defd825c08.jpg,georges,1
f:\bifu\georges\774d897ee7eae0d557c161041eeee5d3.jpg,georges,1
f:\bifu\georges\26159bc9761006aa47fab267bf3efeee.jpg,georges,1
f:\bifu\georges\6dc6392ad64750823d476c0dacd927b6.jpg,georges,1
f:\bifu\georges\3988fa2b3869a24d93789807e27309eb.jpg,georges,1
f:\bifu\georges\856c96b255440a17965ebe4c45214b78.jpg,georges,1
f:\bifu\georges\bdfd825c0a9d24af43b5f49b3d27ca95.jpg,georges,1
f:\bifu\georges\cec1ac01202579b171a89266bc8a6e10.jpg,georges,1
f:\bifu\georges\1ce616e3c6611aea342bd409fd25f507.jpg,georges,1
f:\bifu\georges\5a78121b17751840a7a1778ad88fcfc3.jpg,georges,1
f:\bifu\georges\0aa71f27baf945fdc5ab45a48d6e16b3.jpg,georges,1
f:\bifu\georges\ec181d1eaf5b77219554c4b0ff462ebd.jpg,georges,1
f:\bifu\georges\8d25cd29b62b98342599f9c505a7e6cc.jpg,georges,1
f:\bifu\georges\ab3b6b680196b340def32153dd394806.jpg,georges,1
f:\bifu\georges\37ce8d3085373f9aed34f5ae4cd3a1d9.jpg,georges,1
f:\bifu\georges\2cbdc8eeee752639fe219007d2f71d59.jpg,georges,1
f:\bifu\georges\cbd9b40595d397ec08904935032970c3.jpg,georges,1
f:\bifu\georges\8cdeb7609c3c839042e2b6fb7ef55277.jpg,georges,1
f:\bifu\georges\8e7dbf2f11c3c1b88cf3f58211c83bde.jpg,georges,1
f:\bifu\georges\7d0728ae52b2611825910e93e7ef94f2.jpg,georges,1
f:\bifu\georges\6ee4bf6b889676d04ca10e46fef878dc.jpg,georges,1
f:\bifu\georges\a59eb4bc81f7584f073998fe691dadcd.jpg,georges,1
f:\bifu\georges\04c97d9c8bf714504cff9f87c27f4003.jpg,georges,1
f:\bifu\georges\03650b721a949764c0b081e70382fd3d.jpg,georges,1
f:\bifu\georges\d8e99f1bb0742ffcd875ef6a06fb9a62.jpg,georges,1
